109
Atno	Symbol	Name	Mass	Calculated Atomic Radius (A)	Van der Waals Radius (A)	Covalent Radius of Single Bond (A)	Covalent Radius of Double Bond (A)	Covalent Radius of Triple Bond (A)
1	H	Hydrogen	1.00794	0.5292	1.2	0.32	0	0
2	He	Helium	4.002602	0.3113	1.4	0.46	0	0
3	Li	Lithium	6.941	1.6282	1.82	1.33	1.24	0
4	Be	Beryllium	9.012182	1.0855	0	1.02	0.9	0.85
5	B	Boron	10.811	0.8141	0	0.85	0.78	0.73
6	C	Carbon	12.0107	0.6513	1.7	0.75	0.67	0.6
7	N	Nitrogen	14.0067	0.5427	1.55	0.71	0.6	0.54
8	O	Oxygen	15.9994	0.4652	1.52	0.63	0.57	0.53
9	F	Fluorine	18.9984032	0.4071	1.47	0.64	0.59	0.53
10	Ne	Neon	20.1797	0.3618	1.54	0.67	0.96	0
11	Na	Sodium	22.98976928	2.1649	2.27	1.55	1.6	0
12	Mg	Magnesium	24.305	1.6711	1.73	1.39	1.32	1.27
13	Al	Aluminium	26.9815386	1.3607	0	1.26	1.13	1.11
14	Si	Silicon	28.0855	1.1476	2.1	1.16	1.07	1.02
15	P	Phosphorus	30.973762	0.9922	1.8	1.11	1.02	0.94
16	S	Sulfur	32.065	0.8738	1.8	1.03	0.94	0.95
17	Cl	Chlorine	35.453	0.7807	1.75	0.99	0.95	0.93
18	Ar	Argon	39.948	0.7056	1.88	0.96	1.07	0.96
19	K	Potassium	39.0983	3.5598	2.75	1.96	1.93	0
20	Ca	Calcium	40.078	2.7479	0	1.71	1.47	1.33
21	Sc	Scandium	44.955912	2.6106	0	1.48	1.16	1.14
22	Ti	Titanium	47.867	2.4861	0	1.36	1.17	1.08
23	V	Vanadium	50.9415	2.3732	0	1.34	1.12	1.06
24	Cr	Chromium	51.9961	2.2701	0	1.22	1.11	1.03
25	Mn	Manganese	54.938045	2.1754	0	1.19	1.05	1.03
26	Fe	Iron	55.845	2.0885	0	1.16	1.09	1.02
27	Co	Cobalt	58.933195	2.008	0	1.11	1.03	0.96
28	Ni	Nickel	58.6934	1.9337	1.63	1.1	1.01	1.01
29	Cu	Copper	63.546	1.8648	1.4	1.12	1.15	1.2
30	Zn	Zinc	65.409	1.8004	1.39	1.18	1.2	0
31	Ga	Gallium	69.723	1.5663	1.87	1.24	1.17	1.21
32	Ge	Germanium	72.64	1.3862	0	1.21	1.11	1.14
33	As	Arsenic	74.9216	1.2431	1.85	1.21	1.14	1.06
34	Se	Selenium	78.96	1.1269	1.9	1.16	1.07	1.07
35	Br	Bromine	79.904	1.0305	1.85	1.14	1.09	1.1
36	Kr	Krypton	83.798	0.9493	2.02	1.17	1.21	1.08
37	Rb	Rubidium	85.4678	4.8106	0	2.1	2.02	0
38	Sr	Strontium	87.62	3.7135	0	1.85	1.57	1.39
39	Y	Yttrium	88.90585	3.5278	0	1.63	1.3	1.24
40	Zr	Zirconium	91.224	3.3598	0	1.54	1.27	1.21
41	Nb	Niobium	92.90638	3.2071	0	1.47	1.25	1.16
42	Mo	Molybdenum	95.94	3.0677	0	1.38	1.21	1.13
43	Tc	Technetium	98	2.9398	0	1.28	1.2	1.1
44	Ru	Ruthenium	101.07	2.8222	0	1.25	1.14	1.03
45	Rh	Rhodium	102.9055	2.7137	0	1.25	1.1	1.06
46	Pd	Palladium	106.42	2.6132	1.63	1.2	1.17	1.12
47	Ag	Silver	107.8682	2.5199	1.72	1.28	1.39	1.37
48	Cd	Cadmium	112.411	2.433	1.58	1.36	1.44	0
49	In	Indium	114.818	2.1167	1.93	1.42	1.36	1.46
50	Sn	Tin	118.71	1.8732	2.17	1.4	1.3	1.32
51	Sb	Antimony	121.76	1.6799	0	1.4	1.33	1.27
52	Te	Tellurium	127.6	1.5228	2.06	1.36	1.28	1.21
53	I	Iodine	126.90447	1.3926	1.98	1.33	1.29	1.25
54	Xe	Xenon	131.293	1.2828	2.16	1.31	1.35	1.22
55	Cs	Caesium	132.9054519	6.0615	0	2.32	2.09	0
56	Ba	Barium	137.327	4.6788	0	1.96	1.61	1.49
57	La	Lanthanum	138.90547	3.8102	0	1.8	1.39	1.39
58	Ce	Cerium	140.116	3.2133	0	1.63	1.37	1.31
59	Pr	Praseodymium	140.90765	2.778	0	1.76	1.38	1.28
60	Nd	Neodymium	144.242	2.4468	0	1.74	1.37	0
61	Pm	Promethium	145	2.1861	0	1.73	1.35	0
62	Sm	Samarium	150.36	1.9756	0	1.72	1.34	0
63	Eu	Europium	151.964	1.802	0	1.68	1.34	0
64	Gd	Gadolinium	157.25	1.6565	0	1.69	1.35	1.32
65	Tb	Terbium	158.92535	1.5328	0	1.68	1.35	0
66	Dy	Dysprosium	162.5	1.4262	0	1.67	1.33	0
67	Ho	Holmium	164.93032	1.3335	0	1.66	1.33	0
68	Er	Erbium	167.259	1.2521	0	1.65	1.33	0
69	Tm	Thulium	168.93421	1.1801	0	1.64	1.31	0
70	Yb	Ytterbium	173.04	1.1159	0	1.7	1.29	0
71	Lu	Lutetium	174.967	1.0583	0	1.62	1.31	1.31
72	Hf	Hafnium	178.49	1.0079	0	1.52	1.28	1.22
73	Ta	Tantalum	180.94788	0.9594	0	1.46	1.26	1.19
74	W	Tungsten	183.84	0.9165	0	1.37	1.2	1.15
75	Re	Rhenium	186.207	0.8773	0	1.31	1.19	1.1
76	Os	Osmium	190.23	0.8413	0	1.29	1.16	1.09
77	Ir	Iridium	192.217	0.8182	0	1.22	1.15	1.07
78	Pt	Platinum	195.084	0.7776	1.72	1.23	1.12	1.1
79	Au	Gold	196.966569	0.7492	1.66	1.24	1.21	1.23
80	Hg	Mercury	200.59	3.0636	1.55	1.33	1.42	0
81	Tl	Thallium	204.3833	2.667	1.96	1.44	1.42	1.5
82	Pb	Lead	207.2	2.3603	2.02	1.44	1.35	1.37
83	Bi	Bismuth	208.9804	2.1167	0	1.51	1.41	1.35
84	Po	Polonium	209	1.9187	0	1.45	1.35	1.29
85	At	Astatine	210	1.7546	0	1.47	1.38	1.38
86	Rn	Radon	222	1.6164	0	1.42	1.45	1.33
87	Fr	Francium	223	7.2404	0	2.23	2.18	0
88	Ra	Radium	226	5.5887	0	2.01	1.73	0
89	Ac	Actinium	227	5.3091	0	1.86	1.53	0
90	Th	Thorium	232.03806	5.0569	0	1.75	1.43	0
91	Pa	Protactinium	231.03588	3.7042	0	1.69	1.38	0
92	U	Uranium	238.02891	3.2177	1.86	1.7	1.34	0
93	Np	Neptunium	237	2.8443	0	1.71	1.36	0
94	Pu	Plutonium	244	2.3596	0	1.72	1.35	0
95	Am	Americium	243	2.1525	0	1.66	1.35	0
96	Cm	Curium	247	2.1097	0	1.66	1.36	0
97	Bk	Berkelium	247	1.8308	0	1.66	1.39	0
98	Cf	Californium	251	1.7035	0	1.68	1.4	0
99	Es	Einsteinium	252	1.5928	0	1.65	1.4	0
100	Fm	Fermium	257	1.4956	0	1.67	0	0
101	Md	Mendelevium	258	1.4096	0	1.73	1.39	0
102	No	Nobelium	259	1.3329	0	1.76	1.59	0
103	Lr	Lawrencium	262	1.3164	0	1.61	1.41	0
104	Rf	Rutherfordium	261	1.3165	0	1.57	1.4	1.31
105	Db	Dubnium	262	1.3166	0	1.49	1.36	1.26
106	Sg	Seaborgium	263	1.3167	0	1.43	1.28	1.21
107	Bh	Bohrium	264	1.3168	0	1.41	1.28	1.19
108	Hs	Hassium	265	1.3169	0	1.34	1.25	1.18
109	Mt	Meitnerium	268	1.317	0	1.29	1.25	1.13
								
								
Pure Appl. Chem., Vol. 78, No. 11, pp. 2051-2066, 2006.
P. Pyykk�, M. Atsumi, Chem. Eur. J., 15, 2009,186-197 doi:10.1002/chem.200800987
P. Pyykk�, M. Atsumi, Chem. Eur. J., 15, 2009,12770�12779 doi:10.1002/chem.200901472. Figure 3 of this paper contains all radii of refs. [4-6]. The mean-square deviation of each set is 3 pm.
P. Pyykk�, S. Riedel, M. Patzschke, Chem. Eur. J., 11, 2005,3511�3520 doi:10.1002/chem.200401299
